City,Date,aggVODKA,aggRUM,aggBRANDIES,aggSCHNAPPS,aggWHISKIES,aggTEQUILA,aggSCOTCH,aggOTHER,aggLIQUEURS,numRecords,Volume Sold (Liters),Bottles Sold,Sale (Dollars)
Ackley,01/13/2017,6,4,0,2,9,1,0,2,0,24,143.75,139,1983.6300000000006
Ackley,01/20/2017,2,1,0,0,10,0,0,0,0,13,105.92,114,1145.6799999999998
Ackley,01/27/2017,10,2,0,0,7,0,0,0,1,20,183.55,152,2288.3100000000004
Ackley,02/10/2017,2,1,0,1,2,0,0,0,1,7,63.0,60,753.45
Ackley,02/17/2017,13,3,0,3,16,0,0,3,1,39,259.25,229,2896.5699999999993
Ackley,02/24/2017,0,2,0,1,3,0,0,0,0,6,42.5,38,647.08
Ackley,03/03/2017,2,2,1,0,5,1,0,1,2,14,87.75,91,985.89
Ackley,10/07/2016,7,3,0,0,8,1,0,0,1,20,90.33000000000001,105,1135.33
Ackley,10/14/2016,10,3,0,0,9,0,0,0,0,22,158.24,170,1673.96
Ackley,10/28/2016,8,3,0,0,21,0,0,3,3,38,229.28000000000003,248,2913.92
Ackley,11/04/2016,5,1,0,0,5,0,0,1,0,12,80.0,75,800.2099999999999
Ackley,11/11/2016,2,3,0,2,2,0,0,0,1,10,109.5,114,1632.6
Ackley,11/18/2016,7,4,1,0,17,0,0,0,1,30,233.8,264,3173.0600000000004
Ackley,12/02/2016,11,2,0,2,13,0,0,0,1,29,153.85999999999999,179,1798.58
Ackley,12/09/2016,5,1,0,1,4,0,0,0,1,12,73.25,78,959.29
Ackley,12/16/2016,7,5,1,2,9,0,0,0,2,26,187.42000000000002,193,1926.7899999999997
Ackley,12/23/2016,3,1,0,1,6,0,0,0,1,12,69.87,72,784.11
Ackley,12/30/2016,7,5,0,1,14,0,0,1,1,29,206.85,184,2921.2000000000003
Adair,01/09/2017,5,3,0,0,3,0,0,0,0,11,108.0,120,1203.1200000000003
Adair,01/23/2017,6,2,0,0,7,0,0,0,0,15,102.25,148,2156.3999999999996
Adair,01/30/2017,4,2,0,1,7,1,0,0,0,15,89.02000000000001,111,1168.74
Adair,02/06/2017,9,3,0,0,5,0,0,1,1,19,125.55000000000001,164,1830.0999999999997
Adair,03/06/2017,6,1,0,0,4,0,0,0,0,11,101.85,150,1121.62
Adair,10/03/2016,4,3,0,0,4,2,0,0,0,13,73.8,90,1543.19
Adair,10/17/2016,4,0,0,0,6,0,0,0,0,10,85.0,136,1232.8799999999999
Adair,11/07/2016,4,1,0,0,5,0,0,0,1,11,57.349999999999994,67,645.6800000000001
Adair,11/14/2016,9,2,1,0,2,0,0,0,1,15,129.25,344,1640.98
Adair,11/28/2016,11,7,1,0,15,1,0,1,1,37,278.1,392,3947.2799999999997
Adair,12/05/2016,3,3,0,1,5,0,0,0,0,12,73.69999999999999,87,1232.6299999999999
Adair,12/12/2016,7,0,0,0,2,0,0,0,1,10,89.5,96,929.5799999999999
Adair,12/19/2016,5,1,0,0,4,0,0,0,1,11,105.1,100,1063.77
Adel,01/03/2017,4,1,0,0,9,0,0,2,0,16,51.94,68,745.41
Adel,01/10/2017,18,7,0,2,21,2,0,11,1,62,387.63,415,4858.540000000001
Adel,01/18/2017,16,6,0,0,17,1,0,4,0,44,317.15,450,3864.62
Adel,01/24/2017,13,9,1,6,20,4,0,8,5,66,429.12,408,4537.079999999999
Adel,01/31/2017,14,4,2,1,15,1,0,3,2,42,381.19,380,3914.1699999999996
Adel,02/07/2017,14,7,1,1,23,1,0,2,0,49,1129.33,966,13006.680000000002
Adel,02/14/2017,11,6,4,0,18,0,0,3,2,44,267.64000000000004,267,2997.86
Adel,02/21/2017,20,8,1,2,29,3,0,6,2,71,562.78,654,6712.450000000001
Adel,02/28/2017,14,6,0,1,15,5,0,6,1,48,279.54,312,3711.43
Adel,03/07/2017,15,13,4,2,20,2,0,9,4,69,493.03999999999996,522,5563.510000000001
Adel,10/04/2016,16,6,2,2,21,1,0,5,5,58,521.3399999999999,762,6941.269999999999
Adel,10/11/2016,8,4,3,0,12,1,0,7,4,39,313.6,364,5098.66
Adel,10/18/2016,13,9,0,1,28,1,0,4,4,60,870.47,690,8955.859999999999
Adel,10/25/2016,15,5,1,1,15,2,0,7,1,47,372.68,383,3861.9900000000007
Adel,11/01/2016,5,6,2,2,20,2,0,2,0,39,268.52,282,3231.0
