City,Date,aggVODKA,aggRUM,aggBRANDIES,aggSCHNAPPS,aggWHISKIES,aggTEQUILA,aggSCOTCH,aggOTHER,aggLIQUEURS,numRecords,Volume Sold (Liters),Bottles Sold,Sale (Dollars)
ACKLEY,01/05/2015,1,1,0,0,2,0,0,1,0,5,73.12,61,979.23
ACKLEY,01/06/2014,1,0,0,0,1,0,0,0,0,2,21.0,12,131.88
ACKLEY,01/07/2013,0,0,1,0,2,0,0,0,0,3,18.75,13,146.69
ACKLEY,01/08/2013,0,0,0,0,1,0,0,0,0,1,10.5,6,94.02
ACKLEY,01/13/2014,1,0,0,0,0,0,0,0,0,1,21.0,12,124.56
ACKLEY,01/16/2012,0,0,0,0,1,0,0,0,0,1,5.25,3,40.47
ACKLEY,01/16/2015,0,0,0,0,1,0,0,0,0,1,2.25,6,40.86
ACKLEY,01/22/2013,0,0,0,0,1,0,0,0,0,1,0.6,1,7.44
ACKLEY,01/26/2015,0,0,0,0,3,0,0,1,0,4,28.5,30,250.70999999999998
ACKLEY,01/30/2012,0,0,0,0,0,0,0,1,0,1,9.0,12,69.24
ACKLEY,02/03/2014,1,0,0,0,0,1,0,0,0,2,3.75,10,51.66
ACKLEY,02/04/2013,1,0,0,0,2,0,0,0,0,3,20.25,15,147.63
ACKLEY,02/06/2012,0,0,0,1,2,0,0,0,0,3,23.0,14,181.16
ACKLEY,02/07/2012,1,1,0,0,0,0,0,0,0,2,18.0,24,241.07999999999998
ACKLEY,02/12/2013,1,0,0,0,0,0,0,0,0,1,9.0,12,58.56
ACKLEY,02/14/2012,1,0,0,0,0,0,0,0,0,1,9.0,12,195.96
ACKLEY,02/16/2015,2,0,0,0,1,0,0,1,0,4,30.0,32,360.24
ACKLEY,02/17/2014,0,0,0,0,1,0,0,0,0,1,10.5,6,89.52
ACKLEY,02/20/2012,0,0,0,0,1,0,0,0,0,1,10.5,6,89.52
ACKLEY,02/25/2013,0,1,0,0,1,0,0,1,0,3,15.75,9,152.43
ACKLEY,03/03/2014,0,1,0,1,1,0,0,0,2,5,20.25,23,367.65999999999997
ACKLEY,03/09/2015,1,0,0,0,0,0,0,0,0,1,10.5,6,132.78
ACKLEY,03/10/2014,0,0,0,1,2,0,0,4,0,7,57.0,64,462.4799999999999
ACKLEY,03/17/2014,1,0,0,0,0,0,0,0,0,1,21.0,12,124.56
ACKLEY,03/18/2013,0,0,0,0,1,0,0,0,0,1,10.5,6,80.28
ACKLEY,03/19/2012,0,0,0,0,1,0,0,0,0,1,5.25,3,40.47
ACKLEY,03/25/2013,1,0,0,0,0,0,0,1,0,2,12.0,16,80.84
ACKLEY,03/30/2015,1,1,0,0,1,0,0,0,1,4,70.5,46,686.12
ACKLEY,03/31/2014,0,0,0,0,1,0,0,0,1,2,22.5,16,203.64000000000001
ACKLEY,04/06/2015,0,0,0,0,1,0,0,0,0,1,0.6,1,10.2
ACKLEY,04/07/2014,1,1,0,1,1,0,0,1,1,6,55.5,45,617.85
ACKLEY,04/09/2012,0,2,0,0,0,0,0,1,0,3,24.75,21,296.03999999999996
ACKLEY,04/14/2014,0,0,0,0,0,1,0,0,0,1,9.0,12,176.76
ACKLEY,04/15/2013,0,1,0,0,0,0,0,1,0,2,13.5,10,202.64
ACKLEY,04/16/2013,0,0,0,0,1,0,0,0,0,1,9.0,12,89.28
ACKLEY,04/20/2015,3,0,0,0,1,0,0,0,0,4,21.2,31,170.03
ACKLEY,04/23/2012,0,0,0,1,1,0,0,0,0,2,6.25,7,87.09
ACKLEY,04/28/2014,2,0,0,0,0,0,0,0,0,2,43.5,28,286.76
ACKLEY,05/01/2012,0,1,0,0,0,0,0,0,0,1,1.5,4,26.96
ACKLEY,05/04/2015,0,0,0,0,1,0,0,0,0,1,4.5,6,162.84
ACKLEY,05/05/2014,0,0,0,0,2,0,0,1,0,3,16.5,14,138.74
ACKLEY,05/07/2012,1,0,0,1,0,0,0,0,0,2,13.5,9,95.34
ACKLEY,05/07/2013,1,0,0,0,0,0,0,0,0,1,9.0,12,116.88
ACKLEY,05/11/2015,4,0,0,1,2,0,0,0,0,7,94.5,70,820.92
ACKLEY,05/13/2013,2,0,0,0,0,0,0,0,0,2,18.0,24,119.75999999999999
ACKLEY,05/19/2014,1,0,0,0,0,0,0,0,0,1,9.0,12,148.44
ACKLEY,05/20/2013,0,0,0,0,0,0,0,0,1,1,1.5,2,23.98
ACKLEY,05/21/2013,0,0,0,0,2,0,0,0,0,2,51.0,36,452.15999999999997
ACKLEY,05/25/2012,0,0,0,1,1,0,0,0,0,2,8.25,7,120.45
ACKLEY,06/01/2015,0,0,0,0,3,0,0,1,0,4,27.0,32,241.07999999999998
ACKLEY,06/02/2014,0,0,0,1,2,0,0,0,0,3,22.12,15,283.74
ACKLEY,06/04/2013,0,1,0,0,0,0,0,0,0,1,0.5,1,8.25
ACKLEY,06/09/2014,0,0,0,0,1,0,0,0,0,1,9.0,12,94.08
ACKLEY,06/15/2015,1,0,0,0,0,0,0,0,0,1,10.5,6,132.78
ACKLEY,06/18/2012,1,0,0,1,0,0,0,0,0,2,4.5,6,61.8
ACKLEY,06/19/2012,2,0,0,0,1,0,0,0,0,3,20.25,30,226.98
ACKLEY,06/23/2014,1,0,0,0,0,0,0,0,0,1,9.0,12,60.72
ACKLEY,06/25/2013,0,0,0,0,1,0,0,0,0,1,31.5,18,282.06
ACKLEY,07/01/2013,2,1,0,1,1,0,0,3,0,8,45.75,45,487.16
ACKLEY,07/02/2012,1,0,0,0,1,0,0,2,0,4,42.0,24,258.65999999999997
ACKLEY,07/06/2015,1,1,0,0,0,0,0,1,0,3,31.5,27,316.05
ACKLEY,07/07/2014,0,1,0,0,1,0,0,1,1,4,16.0,18,317.06
