City,Date,aggVODKA,aggRUM,aggBRANDIES,aggSCHNAPPS,aggWHISKIES,aggTEQUILA,aggSCOTCH,aggOTHER,aggLIQUEURS,numRecords,Volume Sold (Liters),Bottles Sold,Sale (Dollars)
ACKLEY,02/08/2016,6,5,0,3,12,0,0,1,1,28,222.5,203,2904.7799999999997
ACKLEY,02/15/2016,1,1,0,0,3,0,0,0,1,6,57.0,56,1039.86
ACKLEY,02/22/2016,12,5,0,1,13,2,0,5,0,38,229.27,230,2693.4300000000003
ACKLEY,02/29/2016,3,1,0,3,12,0,0,1,0,20,99.62,109,1301.1900000000003
ACKLEY,03/07/2016,1,3,0,0,5,0,0,0,0,9,102.0,84,1265.76
ACKLEY,03/14/2016,4,3,0,0,8,1,0,1,1,18,90.59,124,1145.4199999999998
ACKLEY,03/21/2016,4,5,2,1,7,0,0,1,2,22,145.25,127,1537.5500000000002
ACKLEY,03/28/2016,1,1,0,0,5,0,0,0,0,7,78.0,72,1165.74
ACKLEY,04/04/2016,8,5,0,1,8,0,0,0,0,22,177.13,183,2216.6499999999996
ACKLEY,04/11/2016,6,2,0,1,8,0,0,0,2,19,130.45,108,1904.04
ACKLEY,04/25/2016,5,1,0,0,6,2,0,1,0,15,72.88,81,886.01
ADAIR,02/01/2016,3,2,0,2,4,1,0,1,0,13,111.75,165,1559.3400000000001
ADAIR,02/22/2016,7,0,0,0,6,0,0,1,0,14,127.5,149,2038.2599999999998
ADAIR,03/14/2016,5,2,0,0,3,0,0,1,0,11,106.5,146,1455.84
ADAIR,03/28/2016,4,2,0,0,5,0,0,0,0,11,106.5,139,1411.7399999999998
ADAIR,04/11/2016,3,2,0,0,5,0,0,0,0,10,82.5,115,1221.3
ADAIR,04/25/2016,6,0,0,0,3,0,0,0,0,9,81.0,114,1032.6599999999999
ADEL,02/02/2016,13,2,2,2,19,1,0,9,2,50,438.32000000000005,460,4405.599999999999
ADEL,02/09/2016,12,4,2,3,22,0,0,4,2,49,408.35,435,4647.009999999999
ADEL,02/16/2016,5,1,1,2,9,1,0,5,1,25,209.09,221,2487.66
ADEL,02/23/2016,8,2,1,0,16,2,0,12,2,43,410.93,380,5263.57
ADEL,03/01/2016,4,2,1,1,10,1,0,1,2,22,144.49,151,1518.72
ADEL,03/08/2016,21,7,3,3,36,3,0,19,4,96,786.28,952,9175.36
ADEL,03/15/2016,19,3,1,0,16,2,0,5,2,48,537.15,433,5634.859999999999
ADEL,03/22/2016,7,3,0,1,8,1,0,3,1,24,150.54999999999998,185,1944.6400000000003
ADEL,03/28/2016,21,10,3,3,23,1,0,8,4,73,847.97,1031,13943.339999999995
ADEL,04/04/2016,10,2,1,1,10,0,0,17,4,45,1298.0199999999998,847,10496.839999999997
ADEL,04/12/2016,22,9,3,0,20,2,0,12,3,71,919.5799999999999,1026,11390.1
ADEL,04/19/2016,10,2,2,3,18,3,0,12,1,51,325.94000000000005,342,3814.779999999999
ADEL,04/26/2016,17,0,1,0,19,2,0,3,1,43,558.58,607,10555.31
AFTON,02/16/2016,1,1,0,0,3,0,0,1,0,6,69.0,51,895.38
AFTON,03/01/2016,1,0,1,0,5,0,0,0,0,7,129.0,144,1775.8799999999999
AFTON,03/22/2016,1,1,0,0,2,0,0,0,0,4,102.0,72,921.0
AFTON,04/05/2016,3,1,0,1,7,0,0,1,0,13,162.0,133,2001.8999999999996
AFTON,04/26/2016,2,0,0,0,4,0,0,1,1,8,126.0,109,1556.6999999999998
AKRON,02/09/2016,6,4,3,3,11,1,0,3,2,33,206.02,264,2629.86
AKRON,02/23/2016,4,4,0,0,10,1,0,3,2,24,124.86000000000001,144,1675.5300000000002
AKRON,03/08/2016,3,2,0,0,7,0,0,0,0,12,107.25,117,1155.24
AKRON,03/22/2016,7,3,0,2,9,0,0,0,1,22,124.02,132,1357.1499999999999
AKRON,04/05/2016,3,2,3,0,8,0,0,3,1,20,127.35,144,1513.3200000000002
AKRON,04/26/2016,7,4,1,2,12,2,0,2,1,31,185.69,220,2391.0199999999995
ALBIA,02/03/2016,8,6,2,0,15,0,0,5,1,37,256.49,287,3723.5999999999995
ALBIA,02/10/2016,4,1,0,2,12,1,0,3,1,24,165.75,153,1912.4600000000003
ALBIA,02/17/2016,19,6,4,6,24,4,0,8,7,78,760.47,713,9449.179999999998
ALBIA,02/24/2016,16,5,2,3,19,1,0,8,3,57,452.99,422,6029.400000000001
ALBIA,03/02/2016,5,3,6,4,19,3,1,4,3,48,326.21000000000004,383,5379.920000000001
ALBIA,03/09/2016,10,4,2,1,19,0,0,5,3,44,334.86,350,5023.0199999999995
ALBIA,03/16/2016,8,4,4,5,20,2,0,6,4,53,383.12,388,5227.429999999999
ALBIA,03/23/2016,7,2,1,2,13,3,0,4,2,34,294.0,312,3821.5899999999992
ALBIA,03/30/2016,11,5,2,3,17,0,1,5,2,46,345.5,345,4748.23
ALBIA,04/06/2016,15,8,7,1,23,5,0,2,3,64,597.74,562,7823.459999999999
ALBIA,04/13/2016,6,5,2,4,24,1,0,4,3,49,425.63,457,5927.529999999999
ALBIA,04/20/2016,6,3,3,3,10,1,0,6,5,37,221.59000000000003,235,2919.0299999999997
ALBIA,04/27/2016,15,2,1,0,19,1,0,6,2,46,1161.75,847,12479.989999999993
ALDEN,02/02/2016,5,2,0,0,8,0,0,2,4,21,129.0,108,2000.1000000000004
ALDEN,02/09/2016,4,0,0,0,6,1,0,1,3,15,101.25,78,1174.59
ALDEN,02/16/2016,5,1,1,3,7,0,0,1,2,20,107.0,94,1770.06
ALDEN,02/23/2016,3,2,1,0,10,1,0,2,1,20,112.25,87,1809.6100000000004
ALDEN,03/01/2016,1,3,0,2,7,1,0,1,1,16,111.75,86,1393.6599999999999
ALDEN,03/08/2016,3,1,0,0,7,0,0,4,0,15,111.0,78,1374.48
ALDEN,03/15/2016,5,2,0,0,11,1,0,1,2,22,192.0,185,2435.0899999999997
ALDEN,03/22/2016,4,2,0,1,9,1,0,3,1,21,156.5,108,1788.3899999999999
ALDEN,03/29/2016,6,3,0,1,6,1,0,0,0,17,120.75,108,1898.67
ALDEN,04/05/2016,3,3,3,1,14,0,0,1,3,28,170.75,149,2818.4900000000002
ALDEN,04/12/2016,5,3,0,1,7,0,0,2,2,20,108.75,92,1459.3600000000001
ALDEN,04/19/2016,9,3,0,1,6,0,0,2,0,21,200.25,168,2474.4300000000003
ALDEN,04/26/2016,2,0,0,1,11,0,0,2,2,18,102.75,96,1146.39
ALGONA,02/03/2016,31,11,5,6,58,4,1,21,9,146,1313.04,1292,16787.88
ALGONA,02/10/2016,36,14,8,8,36,4,2,17,5,130,1783.8899999999996,1560,21712.199999999997
ALGONA,02/17/2016,28,10,7,5,52,5,0,19,5,131,1046.1,1129,12779.089999999997
ALGONA,02/24/2016,40,6,9,7,46,3,0,16,6,133,1640.03,1471,18487.349999999988
ALGONA,03/02/2016,23,10,2,13,50,5,0,7,8,118,944.16,932,13150.82
ALGONA,03/09/2016,30,17,10,6,36,6,1,15,12,133,1079.1,1237,14012.399999999992
ALGONA,03/16/2016,28,12,8,8,47,8,0,16,5,132,1379.5299999999997,1392,18989.440000000002
ALGONA,03/23/2016,29,11,3,4,38,5,0,11,5,106,919.21,970,12772.720000000001
ALGONA,03/30/2016,36,16,8,10,42,3,0,12,8,135,852.2199999999999,942,11513.589999999991
ALGONA,04/06/2016,39,15,7,11,62,5,0,19,8,166,2033.4399999999996,1945,28837.43999999999
ALGONA,04/13/2016,39,10,4,9,44,6,2,12,6,132,1546.4499999999996,1526,16606.40999999999
ALGONA,04/20/2016,33,4,7,7,64,1,0,20,6,142,1833.9699999999998,1648,19455.479999999996
ALGONA,04/27/2016,25,14,14,13,47,7,0,13,8,141,1223.4599999999996,1238,15868.949999999995
ALLISON,02/09/2016,9,3,1,2,11,0,0,1,0,27,240.45,187,2455.6899999999996
ALLISON,02/16/2016,3,3,2,1,6,0,0,2,2,19,193.75,157,2133.96
ALLISON,03/01/2016,5,1,0,2,10,1,0,2,2,23,118.1,139,1271.16
ALLISON,03/08/2016,5,1,0,1,6,0,0,1,0,14,117.0,210,1471.3199999999997
ALLISON,03/22/2016,3,3,0,1,11,0,0,2,2,22,146.2,108,1683.7200000000003
ALLISON,03/29/2016,2,0,0,0,4,0,0,0,0,6,97.5,102,922.44
ALLISON,04/05/2016,2,2,1,0,8,0,0,1,0,14,108.6,92,1117.0
ALLISON,04/19/2016,8,6,1,0,10,0,0,4,0,29,274.0,269,3114.45
ALLISON,04/26/2016,1,4,1,1,4,0,0,0,0,11,80.0,54,799.11
ALTA,04/19/2016,2,0,2,0,4,0,0,1,0,9,159.0,228,1575.0
ALTA,04/26/2016,2,2,0,0,3,0,0,1,0,8,81.0,76,1147.58
ALTOONA,02/01/2016,57,21,3,7,58,9,1,31,8,195,1707.25,1928,23636.59999999999
ALTOONA,02/03/2016,59,11,0,8,49,3,0,19,6,155,2785.78,2951,40605.55999999999
ALTOONA,02/08/2016,36,14,6,6,65,8,0,33,8,176,1200.79,1392,18742.899999999994
ALTOONA,02/10/2016,32,11,7,12,46,1,4,15,11,139,2325.5200000000004,2105,28002.170000000006
ALTOONA,02/15/2016,48,14,12,3,55,8,0,26,3,169,1148.6399999999996,1454,16463.689999999988
ALTOONA,02/17/2016,39,6,5,11,49,1,2,27,7,147,1186.12,1381,17206.469999999994
ALTOONA,02/18/2016,1,0,0,0,1,0,0,2,0,4,53.25,39,624.18
ALTOONA,02/22/2016,40,14,8,3,53,11,0,31,4,164,1247.8300000000002,1430,18170.16999999999
ALTOONA,02/24/2016,32,12,1,10,53,17,1,28,10,164,3195.17,3020,39810.62
ALTOONA,02/29/2016,59,16,6,5,55,7,0,27,5,180,1422.32,1535,19976.679999999997
ALTOONA,03/02/2016,41,10,4,4,45,5,1,27,10,147,1638.6800000000003,1804,22350.889999999996
ALTOONA,03/03/2016,2,0,1,0,8,0,0,0,1,12,33.660000000000004,93,510.68999999999994
ALTOONA,03/07/2016,42,10,7,5,39,6,1,24,8,142,1118.7399999999998,1279,15380.179999999986
ALTOONA,03/09/2016,41,9,1,11,41,8,0,15,7,133,1089.4300000000003,1355,16305.299999999994
ALTOONA,03/10/2016,3,0,2,0,5,0,0,1,0,11,48.88,90,682.96
ALTOONA,03/14/2016,32,12,3,0,28,5,1,16,5,102,1161.1,1009,16605.999999999993
ALTOONA,03/16/2016,56,17,8,9,79,20,4,29,17,239,2818.6800000000003,3162,46868.34000000004
ALTOONA,03/17/2016,7,2,1,0,9,0,0,1,0,20,52.04999999999999,128,712.99
ALTOONA,03/21/2016,46,21,9,6,75,15,0,29,10,211,1389.54,1806,22260.489999999998
ALTOONA,03/23/2016,41,7,2,6,36,2,2,9,8,113,1627.5000000000002,1596,18825.28999999999
ALTOONA,03/28/2016,49,15,8,8,36,5,0,20,3,144,1095.1399999999996,1343,14556.479999999985
ALTOONA,03/30/2016,42,17,7,11,62,5,0,18,11,173,1356.3300000000002,1542,19253.04
ALTOONA,04/04/2016,50,23,8,7,52,10,0,25,8,183,1611.73,1744,24540.38000000001
ALTOONA,04/06/2016,45,8,3,6,43,3,0,29,8,145,1546.6000000000001,1510,19147.12999999999
ALTOONA,04/11/2016,55,15,8,4,65,8,0,20,10,185,1317.1200000000003,1623,18948.089999999997
ALTOONA,04/13/2016,68,18,3,7,70,9,2,26,8,211,1732.4599999999998,2120,24952.209999999985
ALTOONA,04/18/2016,42,10,9,3,51,5,0,20,11,151,1187.4499999999998,1458,17318.109999999997
ALTOONA,04/20/2016,34,13,3,7,53,6,0,19,8,143,1050.6,1124,14546.25
ALTOONA,04/25/2016,26,8,1,1,27,5,1,12,0,81,923.25,833,13097.56
ALTOONA,04/26/2016,24,6,5,0,21,1,0,11,0,68,171.39,408,2397.7999999999993
ALTOONA,04/27/2016,51,13,4,11,40,6,1,22,8,156,4213.8,3105,41166.04999999999
AMES,02/02/2016,46,8,5,3,38,0,2,31,3,136,2952.16,2289,32180.440000000002
AMES,02/03/2016,317,91,31,36,280,37,16,134,59,1001,7346.200000000005,7582,104042.28999999988
AMES,02/09/2016,27,7,4,2,25,3,0,11,4,83,584.56,618,8262.94
AMES,02/10/2016,273,93,33,46,288,47,16,153,77,1026,8906.49000000001,9575,141233.23999999993
AMES,02/16/2016,40,14,5,4,60,4,0,21,5,153,1061.3999999999999,1104,14406.759999999995
AMES,02/17/2016,286,108,45,66,295,52,10,177,62,1101,17480.47999999998,15434,190776.06000000032
AMES,02/22/2016,0,0,0,0,1,0,0,0,0,1,0.75,1,195.0
AMES,02/23/2016,51,13,4,5,43,5,0,42,3,166,1174.34,1280,16741.57999999999
AMES,02/24/2016,277,95,35,50,271,59,13,187,62,1049,7062.669999999999,7551,106175.67999999988
AMES,02/25/2016,43,26,3,6,45,8,1,32,8,172,1364.71,1397,20248.84000000002
AMES,03/01/2016,35,12,15,0,42,9,1,15,1,130,1015.05,1168,13840.769999999995
AMES,03/02/2016,284,108,47,53,278,40,12,154,61,1037,8393.500000000005,9323,121925.18999999989
AMES,03/08/2016,52,11,3,6,49,3,0,27,11,162,1093.4299999999998,1321,14426.509999999993
AMES,03/09/2016,278,99,57,32,278,39,14,106,58,961,7282.910000000002,7807,107608.39999999976
AMES,03/14/2016,22,6,7,5,21,5,0,2,0,68,119.94999999999999,154,1584.0600000000002
AMES,03/15/2016,32,10,8,3,35,8,0,21,9,126,952.49,1033,13477.590000000002
