City,Date,aggVODKA,aggRUM,aggBRANDIES,aggSCHNAPPS,aggWHISKIES,aggTEQUILA,aggSCOTCH,aggOTHER,aggLIQUEURS,numRecords,Volume Sold (Liters),Bottles Sold,Sale (Dollars)
Ackley,08/18/2017,5,1,0,0,1,0,0,1,0,8,84.0,84,967.2000000000002
Ackley,08/25/2017,9,6,0,0,15,0,0,0,1,31,214.6,217,2541.4500000000003
Ackley,09/02/2016,6,2,0,0,5,0,0,1,1,15,83.33000000000001,73,981.47
Ackley,09/08/2017,7,3,0,1,15,1,0,1,1,29,147.60999999999999,159,1821.85
Ackley,09/09/2016,5,4,0,0,6,0,0,1,3,19,53.97,77,892.1399999999999
Ackley,09/15/2017,7,3,0,0,25,0,0,0,1,36,250.54000000000002,247,3411.6000000000004
Ackley,09/16/2016,9,5,0,1,18,2,0,2,0,37,248.12,251,3270.29
Ackley,09/22/2017,4,3,0,1,2,0,0,0,0,10,89.0,96,1239.66
Ackley,09/29/2017,6,3,0,0,8,0,0,1,1,19,109.7,102,1089.06
Ackley,09/30/2016,10,5,0,1,18,0,0,0,4,38,260.67,236,2889.2799999999997
Ackley,10/06/2017,5,4,0,0,12,0,0,0,2,23,150.37,175,2062.45
Ackley,10/20/2017,5,4,0,0,15,0,0,2,2,28,166.16000000000003,174,1795.5
Ackley,10/27/2017,3,2,0,1,6,0,0,0,2,14,116.0,116,1409.6999999999998
Ackley,11/03/2017,6,2,0,0,10,0,0,0,2,20,137.4,136,1399.03
Ackley,11/10/2017,9,7,0,2,13,0,0,0,2,33,260.94,257,2956.84
Ackley,11/17/2017,1,2,0,0,5,0,0,1,0,9,84.0,79,1001.01
Ackley,12/01/2017,5,4,1,0,10,0,0,1,2,23,106.63,128,1239.57
Ackley,12/08/2017,14,7,1,0,24,4,0,1,1,52,330.71000000000004,351,4232.95
Ackley,12/15/2017,0,4,0,0,8,0,0,1,0,13,42.25,62,610.74
Adair,09/11/2017,11,5,1,1,20,1,0,2,1,42,253.2,358,4064.9100000000003
Adair,09/12/2016,11,4,2,0,6,0,0,1,1,25,159.55,204,2298.1799999999994
Adair,09/18/2017,2,2,1,0,10,0,0,2,0,17,132.55,141,2286.8199999999997
Adair,09/26/2016,6,0,0,1,3,1,0,0,1,12,99.6,151,1604.76
Adair,10/09/2017,7,1,2,0,8,0,0,0,0,18,124.22,153,1692.76
Adair,10/23/2017,12,6,0,0,14,0,0,0,1,33,194.6,294,2721.8100000000004
Adair,11/06/2017,8,3,0,1,11,0,0,1,0,24,141.15,247,2376.2600000000007
Adair,11/13/2017,3,3,0,3,5,1,0,1,1,17,107.1,116,1244.8600000000001
Adair,11/20/2017,3,0,0,0,9,0,0,1,1,14,106.75,128,1483.1799999999996
Adair,12/04/2017,3,2,0,0,11,0,0,0,1,17,81.60000000000001,88,1232.6399999999999
Adair,12/11/2017,4,0,0,0,5,1,0,0,0,10,93.75,129,1499.1000000000001
Adel,08/15/2017,17,6,1,1,12,0,0,5,0,42,432.84000000000003,458,6572.390000000001
Adel,08/22/2017,15,3,0,0,9,3,0,7,1,38,481.5,490,5780.36
Adel,08/29/2017,30,7,1,3,33,2,0,7,3,86,697.15,816,8814.160000000003
Adel,09/05/2017,30,19,2,1,18,4,0,4,5,83,3452.68,3052,55974.12
Adel,09/06/2016,6,2,1,1,7,0,0,3,1,21,179.0,152,2244.4600000000005
