City,Date,aggVODKA,aggRUM,aggBRANDIES,aggSCHNAPPS,aggWHISKIES,aggTEQUILA,aggSCOTCH,aggOTHER,aggLIQUEURS,numRecords,Volume Sold (Liters),Bottles Sold,Sale (Dollars)
ACKLEY,01/05/2015,0,1,0,0,1,0,0,0,0,2,13.120000000000001,13,211.98
ACKLEY,01/06/2014,0,0,0,0,0,1,0,0,0,1,4.0,4,74.96
ACKLEY,01/07/2013,0,0,0,0,2,0,0,1,0,3,18.0,15,181.52999999999997
ACKLEY,01/13/2014,0,0,0,1,1,0,0,0,0,2,12.75,12,114.53999999999999
ACKLEY,01/16/2012,1,0,0,0,1,0,0,0,0,2,15.0,16,108.08000000000001
ACKLEY,01/26/2015,0,0,0,0,1,0,0,1,0,2,19.5,18,139.8
ACKLEY,01/27/2014,0,1,0,0,2,0,0,0,0,3,18.75,21,198.6
ACKLEY,01/30/2012,0,0,1,0,1,0,0,0,0,2,13.5,10,127.06
ACKLEY,02/03/2014,0,0,0,0,1,0,0,0,0,1,31.5,18,268.56
ACKLEY,02/04/2013,0,0,0,0,1,0,0,0,0,1,5.25,3,124.62
ACKLEY,02/06/2012,0,0,1,0,0,0,0,0,0,1,2.25,3,20.22
ACKLEY,02/07/2012,1,0,0,0,0,0,0,0,0,1,9.0,12,58.56
ACKLEY,02/14/2012,0,0,0,1,0,0,0,0,0,1,1.5,4,13.64
ACKLEY,02/16/2015,2,0,0,0,2,0,0,0,0,4,82.5,54,604.86
ACKLEY,02/20/2012,0,0,0,0,1,0,0,0,0,1,10.5,6,70.8
ACKLEY,02/25/2013,1,0,0,0,0,0,0,1,0,2,13.5,18,99.53999999999999
ACKLEY,03/03/2014,2,0,0,0,0,0,0,0,0,2,11.25,15,111.84
ACKLEY,03/10/2014,0,0,0,1,2,0,0,0,0,3,12.25,11,158.15000000000003
ACKLEY,03/12/2013,0,0,0,0,1,0,0,0,0,1,21.0,12,188.04
ACKLEY,03/17/2014,0,0,0,0,2,0,0,0,0,2,22.5,16,215.23999999999998
ACKLEY,03/18/2013,1,0,0,0,0,0,0,0,0,1,10.5,6,64.2
ACKLEY,03/19/2012,0,0,0,0,1,0,0,1,0,2,11.25,9,82.05
ACKLEY,03/20/2012,0,0,0,0,0,0,0,1,0,1,1.0,2,14.22
ACKLEY,03/25/2013,0,0,0,1,0,0,0,0,1,2,3.75,5,41.47
ACKLEY,03/27/2012,1,1,0,0,0,0,0,0,0,2,19.5,18,214.68
ACKLEY,03/30/2015,1,0,0,0,1,0,0,0,0,2,10.120000000000001,15,95.00999999999999
ACKLEY,03/31/2014,2,2,0,0,0,0,0,0,0,4,28.5,52,268.8
ACKLEY,04/13/2015,2,0,0,0,3,0,0,0,0,5,43.5,34,311.94
ACKLEY,04/15/2013,1,0,0,0,0,0,0,0,0,1,10.5,6,64.74
ACKLEY,04/16/2013,0,0,0,0,1,0,0,0,0,1,0.3,1,9.9
ACKLEY,04/22/2013,0,0,0,0,0,0,0,1,0,1,5.25,3,27.72
ACKLEY,04/23/2012,0,0,1,0,2,0,0,0,0,3,22.5,30,208.07999999999998
ACKLEY,04/23/2013,1,0,0,0,0,0,0,0,0,1,21.0,12,128.4
ACKLEY,04/24/2012,2,1,0,0,0,0,0,0,0,3,28.5,30,273.24
ACKLEY,04/28/2014,1,0,0,0,0,0,0,0,0,1,9.0,12,60.12
ACKLEY,05/04/2015,0,0,0,0,0,0,0,0,1,1,2.25,3,45.0
ACKLEY,05/05/2014,1,1,1,0,1,0,0,0,0,4,13.5,14,166.43
ACKLEY,05/07/2012,0,0,0,0,1,0,0,0,0,1,2.25,3,22.95
ACKLEY,05/07/2013,1,0,0,0,0,0,0,0,0,1,21.0,12,124.56
ACKLEY,05/11/2015,1,0,0,0,1,0,0,0,0,2,42.0,24,289.44
ACKLEY,05/13/2013,0,1,0,0,0,0,0,1,0,2,9.75,9,81.9
ACKLEY,05/19/2014,0,0,0,1,0,0,0,0,0,1,9.0,12,66.84
ACKLEY,05/20/2013,0,0,0,0,2,0,0,0,0,2,19.5,18,154.07999999999998
ACKLEY,05/21/2013,1,0,0,0,0,0,0,0,0,1,9.0,12,143.4
ACKLEY,05/22/2012,1,1,0,0,0,0,0,0,0,2,18.0,24,269.76
ACKLEY,05/25/2012,1,0,0,0,0,0,0,0,0,1,12.0,12,72.12
ACKLEY,06/01/2015,1,0,1,0,1,0,0,0,0,3,23.5,32,196.74
ACKLEY,06/02/2014,0,0,0,0,2,0,0,1,0,3,28.5,52,325.56
ACKLEY,06/04/2012,1,1,0,1,0,0,0,0,0,3,15.5,12,134.8
ACKLEY,06/04/2013,0,0,0,0,2,0,0,2,0,4,51.75,60,663.84
ACKLEY,06/05/2012,2,0,0,0,1,0,0,0,0,3,39.0,36,416.28
ACKLEY,06/09/2014,0,0,0,0,1,0,0,0,0,1,10.5,6,94.02
ACKLEY,06/15/2015,2,0,0,0,2,0,0,1,0,5,69.5,61,497.43
ACKLEY,06/18/2012,0,0,0,0,2,0,0,0,0,2,4.5,6,57.629999999999995
ACKLEY,06/19/2012,0,0,0,0,1,0,0,0,0,1,42.0,24,376.08
ACKLEY,06/23/2014,0,0,0,0,1,0,0,0,1,2,15.0,12,202.5
ACKLEY,06/25/2013,1,0,0,0,0,0,0,0,0,1,9.0,12,59.04
ACKLEY,06/26/2012,1,1,0,0,0,0,0,0,0,2,30.0,24,247.8
ACKLEY,07/01/2013,1,1,0,0,1,0,0,1,0,4,24.25,19,367.96999999999997
ACKLEY,07/02/2012,1,0,0,0,0,0,0,0,0,1,9.0,12,59.52
ACKLEY,07/06/2015,0,0,0,0,1,0,0,0,0,1,1.5,4,12.32
ACKLEY,07/07/2014,0,2,0,0,0,0,0,0,0,2,30.0,24,476.88
ACKLEY,07/08/2013,1,0,0,1,0,0,0,0,0,2,22.12,15,159.9
ACKLEY,07/13/2015,2,0,0,0,3,0,0,0,0,5,47.25,31,440.03000000000003
ACKLEY,07/15/2013,0,0,0,0,1,0,0,0,0,1,6.0,6,44.4
ACKLEY,07/17/2012,1,0,0,0,0,0,0,0,0,1,10.5,6,64.2
ACKLEY,07/20/2015,0,1,0,0,0,0,0,1,1,3,11.0,15,200.31
ACKLEY,07/21/2014,1,1,0,0,1,0,0,0,0,3,24.5,34,226.24
ACKLEY,07/22/2013,0,1,0,0,0,0,0,0,0,1,18.0,24,302.88
ACKLEY,07/29/2013,2,1,0,0,1,0,0,0,0,4,30.6,25,351.36
ACKLEY,07/30/2012,0,0,0,0,1,0,0,1,0,2,15.75,9,121.25999999999999
ACKLEY,07/31/2012,0,2,0,0,0,0,0,0,0,2,3.25,8,56.94
ACKLEY,08/03/2015,2,2,1,0,1,0,0,0,1,7,78.88,55,673.79
ACKLEY,08/04/2014,1,0,0,0,0,0,0,0,0,1,10.5,6,132.78
ACKLEY,08/05/2013,0,0,0,0,1,0,0,0,0,1,9.0,12,252.6
ACKLEY,08/06/2012,0,0,0,0,1,0,0,0,0,1,4.5,6,162.78
ACKLEY,08/11/2014,0,0,0,0,2,0,0,0,0,2,5.75,5,40.150000000000006
ACKLEY,08/14/2012,0,0,0,0,0,1,0,0,0,1,1.12,3,63.0
ACKLEY,08/18/2014,2,0,0,0,0,1,0,0,0,3,17.25,21,224.34
ACKLEY,08/24/2015,0,1,0,0,0,0,0,0,1,2,6.0,8,88.35
ACKLEY,08/25/2014,0,0,0,0,0,0,0,1,0,1,0.5,1,8.31
ACKLEY,08/26/2013,0,0,0,1,0,0,0,0,0,1,3.0,4,22.2
ACKLEY,08/27/2012,0,0,0,0,0,0,0,1,0,1,3.0,4,20.24
ACKLEY,08/28/2012,1,0,0,0,1,0,0,0,0,2,10.879999999999999,17,72.56
ACKLEY,08/31/2015,1,0,0,0,3,0,0,0,0,4,21.75,24,242.16
ACKLEY,09/09/2013,1,0,0,0,0,0,0,0,0,1,9.0,12,60.12
ACKLEY,09/11/2012,0,0,0,0,1,0,0,0,0,1,9.0,12,260.88
ACKLEY,09/14/2015,1,0,0,0,1,0,0,0,0,2,21.0,12,215.04000000000002
ACKLEY,09/15/2014,0,0,0,1,3,0,0,1,1,6,29.0,35,548.95
ACKLEY,09/16/2013,0,1,0,0,3,0,0,1,0,5,37.5,26,333.6
ACKLEY,09/21/2015,1,0,0,0,1,1,0,1,0,4,3.75,6,69.75999999999999
ACKLEY,09/25/2012,1,0,0,1,0,0,0,0,0,2,27.0,36,183.72
ACKLEY,09/28/2015,0,1,0,0,2,0,0,0,1,4,36.5,22,364.18
ACKLEY,10/01/2012,0,0,0,0,1,0,0,1,0,2,3.0,4,24.17
ACKLEY,10/07/2013,3,0,0,0,0,0,0,1,2,6,49.5,42,509.44000000000005
ACKLEY,10/09/2012,0,0,0,0,2,0,0,0,0,2,31.5,42,907.98
ACKLEY,10/13/2014,0,0,0,0,3,0,0,0,0,3,44.55,31,394.84999999999997
ACKLEY,10/15/2012,0,1,0,0,1,0,0,1,0,3,11.25,11,215.2
ACKLEY,10/19/2015,0,1,0,2,3,0,0,0,0,6,52.120000000000005,42,626.7
ACKLEY,10/21/2013,0,0,0,0,1,0,0,0,0,1,2.25,6,18.42
ACKLEY,10/22/2012,0,0,0,0,2,0,0,0,1,3,24.0,16,212.04000000000002
ACKLEY,10/26/2015,2,1,0,0,3,0,0,0,0,6,38.0,32,484.7
ACKLEY,10/27/2014,0,0,0,0,1,0,0,1,0,2,10.0,14,205.5
ACKLEY,10/30/2012,0,0,0,0,1,0,0,0,0,1,1.5,3,30.72
