City,Date,aggVODKA,aggRUM,aggBRANDIES,aggSCHNAPPS,aggWHISKIES,aggTEQUILA,aggSCOTCH,aggOTHER,aggLIQUEURS,numRecords,Volume Sold (Liters),Bottles Sold,Sale (Dollars)
Ackley,03/17/2017,6,2,0,1,10,0,0,1,0,20,173.0,164,1971.2800000000002
Ackley,03/24/2017,5,4,2,0,15,3,0,0,2,31,242.87,230,3442.8
Ackley,04/07/2017,14,2,1,1,13,0,0,4,2,37,286.5,290,3641.1200000000003
Ackley,04/14/2017,2,1,0,0,4,0,0,0,0,7,73.5,66,744.3000000000001
Ackley,04/21/2017,3,2,0,3,16,0,0,1,1,26,195.0,175,2275.5099999999998
Ackley,04/28/2017,7,1,1,0,10,0,0,1,0,20,120.37,121,1504.0199999999998
Ackley,05/05/2017,5,4,0,2,5,0,0,0,1,17,149.75,135,1826.3300000000002
Ackley,05/12/2017,5,4,0,0,8,0,0,0,0,17,84.12,128,1054.61
Ackley,05/19/2017,2,2,0,3,5,0,0,1,0,13,102.75,99,1428.8300000000002
Ackley,05/26/2017,7,5,0,3,10,0,0,0,0,25,176.74,172,2331.1400000000003
Ackley,06/02/2017,6,5,0,2,9,1,0,3,4,30,191.36,171,2334.05
Ackley,06/09/2017,5,0,0,0,4,0,0,1,0,10,89.25,79,973.8600000000001
Ackley,06/16/2017,8,11,2,5,20,4,0,3,1,54,301.09000000000003,291,3994.45
Ackley,06/23/2017,3,0,1,4,8,0,0,0,2,18,136.0,120,1498.2399999999998
Ackley,06/30/2017,7,4,0,1,15,0,0,2,1,30,187.96,210,2171.08
Ackley,07/07/2017,8,4,0,4,3,1,0,1,0,21,186.75,157,2139.86
Ackley,07/14/2017,15,7,0,1,16,0,0,1,3,43,281.39,294,3554.7599999999993
Ackley,07/21/2017,3,0,0,0,7,0,0,0,0,10,62.75,98,655.4599999999999
Ackley,07/28/2017,10,3,0,1,11,0,0,0,3,28,214.97,199,2324.52
Ackley,08/04/2017,3,0,0,0,6,0,0,1,1,11,72.5,67,809.8500000000001
Ackley,08/10/2017,1,2,0,0,1,0,0,0,0,4,105.0,60,1271.7
Ackley,08/11/2017,8,3,1,5,9,0,0,1,4,31,219.97,213,2620.75
Adair,03/27/2017,6,1,1,0,3,0,0,2,1,14,115.1,138,1264.7
Adair,04/17/2017,4,4,0,1,5,0,0,1,0,15,115.0,144,1726.62
Adair,05/01/2017,3,1,0,0,3,1,0,1,0,9,84.75,102,1453.62
Adair,05/15/2017,3,3,0,1,7,0,0,0,0,14,107.95,134,1428.74
Adair,06/05/2017,11,7,1,0,21,1,0,0,2,43,265.25,408,4115.5
Adair,06/19/2017,5,1,0,1,3,1,0,0,0,11,95.5,143,1143.6399999999999
Adair,07/10/2017,6,1,0,0,6,0,0,2,0,15,164.0,212,2139.5399999999995
Adair,07/31/2017,2,2,0,0,5,1,0,2,2,14,106.25,176,1944.6800000000003
Adair,08/14/2017,6,0,0,0,11,0,0,0,0,17,120.6,135,1760.7999999999995
Adel,03/14/2017,10,3,0,1,16,2,0,3,1,36,304.22,427,4285.95
Adel,03/21/2017,15,4,1,1,26,4,0,11,3,65,626.6400000000001,765,10854.010000000004
Adel,03/28/2017,14,5,1,1,13,0,1,6,2,43,325.2,376,4221.85
Adel,04/04/2017,5,5,1,1,22,0,0,10,1,45,1107.7699999999998,767,9370.54
Adel,04/11/2017,17,12,1,0,18,2,0,10,1,61,839.74,743,9463.73
Adel,04/18/2017,16,8,2,0,19,3,0,6,0,54,406.0,452,4849.060000000001
Adel,04/25/2017,13,5,0,0,16,3,0,3,1,41,267.72,314,3293.2099999999996
Adel,05/02/2017,18,6,0,4,31,1,0,7,4,71,1261.19,1110,13261.18
Adel,05/09/2017,15,3,0,1,16,7,0,9,1,52,397.94,448,5338.54
Adel,05/12/2017,0,0,0,0,1,0,0,0,0,1,9.0,12,121.56
Adel,05/16/2017,19,5,1,0,22,3,0,5,1,56,384.72,478,5553.38
Adel,05/23/2017,21,18,2,2,40,6,0,8,2,99,819.14,897,9678.960000000001
Adel,05/30/2017,11,5,0,1,8,3,0,1,2,31,259.23,303,3538.2799999999997
Adel,06/06/2017,14,9,0,1,20,3,0,4,3,54,367.58,421,4729.159999999999
Adel,06/13/2017,14,2,0,0,7,0,0,1,1,25,210.1,281,2575.52
Adel,06/20/2017,22,12,2,1,22,4,0,8,1,72,1169.57,958,16079.609999999999
Adel,06/27/2017,26,11,0,0,28,4,0,11,2,82,735.77,820,11318.059999999998
Adel,07/04/2017,14,7,1,2,17,2,0,2,2,47,531.55,481,6795.580000000001
Adel,07/11/2017,23,8,1,3,27,5,0,14,3,84,814.49,868,11896.79
Adel,07/18/2017,17,5,2,0,10,2,0,3,2,41,288.9,284,3172.1900000000005
Adel,07/25/2017,4,3,0,0,10,0,0,2,1,20,108.94999999999999,146,1435.2000000000003
Adel,08/01/2017,33,12,3,2,33,6,1,9,5,104,818.3199999999999,873,10417.860000000008
