City,Date,aggVODKA,aggRUM,aggBRANDIES,aggSCHNAPPS,aggWHISKIES,aggTEQUILA,aggSCOTCH,aggOTHER,aggLIQUEURS,numRecords,Volume Sold (Liters),Bottles Sold,Sale (Dollars)
Ackley,06/01/2018,0,0,0,0,1,0,0,0,0,1,9.0,12,280.68
Ackley,06/09/2017,0,0,0,0,1,0,0,0,0,1,12.0,12,341.64
Ackley,07/22/2016,7,0,0,0,7,0,0,2,0,16,103.3,126,1100.33
Ackley,07/29/2016,9,5,1,5,20,3,0,7,0,50,256.75,247,3474.1099999999997
Ackley,08/03/2018,10,6,1,1,17,2,0,2,4,43,328.6,405,4176.5999999999985
Ackley,08/05/2016,4,2,0,0,3,0,0,1,0,10,183.0,120,2221.6800000000003
Ackley,08/12/2016,9,2,0,0,10,0,0,2,0,23,150.26,155,1842.0500000000002
Ackley,08/17/2018,2,1,0,0,7,0,0,0,0,10,88.0,88,1524.94
Ackley,08/19/2016,7,2,1,0,12,0,0,2,0,24,121.97,99,1527.9399999999998
Ackley,08/24/2018,10,5,0,2,15,0,0,0,1,33,216.60000000000002,235,2737.33
Ackley,08/26/2016,3,2,0,0,4,0,0,0,0,9,75.0,72,1042.8000000000002
Ackley,08/31/2018,5,3,0,0,2,0,0,0,0,10,98.25,99,1014.6600000000001
Ackley,09/07/2018,3,2,0,2,2,1,0,4,2,16,101.25,99,1326.25
Ackley,09/14/2018,11,1,1,0,12,1,0,3,2,31,172.85,177,2095.6
Ackley,09/16/2016,0,0,0,0,0,1,0,0,0,1,0.8,4,0.0
Ackley,09/21/2018,3,3,0,1,6,2,0,0,0,15,65.5,80,1086.72
Ackley,09/28/2018,5,2,0,0,4,0,0,0,0,11,104.75,93,1086.6200000000001
Adair,07/25/2016,17,2,0,2,15,0,0,1,0,37,210.7,238,2882.25
Adair,08/13/2018,6,0,0,0,10,2,0,0,2,20,72.75,105,1396.59
Adair,08/20/2018,8,1,0,0,10,1,0,2,1,23,177.67,232,2754.27
Adair,08/29/2016,7,0,0,0,6,0,0,1,0,14,30.69,37,943.2
Adair,09/24/2018,14,6,2,1,24,1,0,0,3,51,258.20000000000005,375,4033.5200000000004
Adel,07/12/2016,6,5,0,3,4,0,0,5,1,24,204.37,236,2761.49
Adel,07/19/2016,15,6,0,3,23,0,0,6,0,53,901.35,709,9247.18
Adel,07/26/2016,9,2,1,1,9,0,0,4,0,26,162.42000000000002,229,2041.64
Adel,08/02/2016,13,5,1,4,28,6,0,17,6,80,524.74,569,6622.46
Adel,08/07/2018,19,8,0,1,29,6,0,16,8,87,802.91,823,10961.710000000001
Adel,08/09/2016,27,6,2,3,36,4,0,9,4,91,713.07,813,9006.1
Adel,08/14/2018,25,8,1,2,33,5,0,2,5,81,733.7,958,12036.209999999995
Adel,08/16/2016,20,4,0,2,18,0,0,2,3,49,420.5,461,5836.120000000002
Adel,08/21/2018,6,0,0,0,5,0,0,0,0,11,149.75,166,2692.2
Adel,08/23/2016,8,3,0,1,10,1,0,5,0,28,134.05,202,1891.0400000000002
Adel,08/28/2018,12,4,0,3,7,0,1,1,3,31,344.25,351,4760.01
Adel,08/30/2016,24,14,2,2,32,4,0,7,5,90,357.11,299,7439.989999999998
Adel,09/04/2018,15,10,0,0,16,0,1,5,2,49,1055.79,849,14431.100000000004
Adel,09/11/2018,22,9,1,3,21,1,0,8,1,66,1012.6,1084,16076.69
Adel,09/13/2018,0,0,0,0,1,0,0,0,0,1,0.75,2,14.34
Adel,09/18/2018,16,4,1,0,25,2,0,1,2,51,530.95,649,11368.029999999999
Adel,09/25/2018,11,3,0,5,15,3,0,4,10,51,569.4499999999999,510,6563.16
Adel,10/27/2017,1,0,0,0,0,0,0,0,0,1,1.5,2,0.0
Adel,10/31/2017,10,2,0,0,12,0,0,5,2,31,70.67999999999999,106,1111.44
Afton,07/22/2016,2,1,0,0,6,0,0,1,0,10,161.1,177,1930.6200000000003
Afton,08/05/2016,2,1,1,0,5,0,0,0,0,9,138.0,132,1648.32
Afton,08/24/2018,3,1,0,0,2,0,0,1,0,7,99.0,84,1069.92
Afton,08/26/2016,2,1,1,0,3,0,0,1,0,8,135.0,88,1250.4
Afton,08/29/2018,0,0,0,0,1,0,0,0,0,1,10.5,6,94.08
Afton,09/07/2018,4,1,1,0,6,0,0,0,0,12,135.0,156,1783.5600000000004
Afton,09/21/2018,2,2,1,0,3,1,0,3,0,12,106.5,101,1220.8999999999999
Afton,09/23/2016,0,0,0,1,0,0,0,0,0,1,1.75,1,0.0
Akron,07/12/2016,11,4,0,1,8,2,0,1,3,30,164.38,183,2091.84
Akron,07/25/2016,7,4,1,2,6,0,0,2,0,22,121.19000000000001,153,1473.9900000000002
Akron,08/07/2018,6,6,0,1,8,1,0,0,1,23,144.36,171,1780.92
Akron,08/15/2016,6,4,0,1,9,2,0,5,2,29,197.98000000000002,228,2439.69
