GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0400000US19,19,Iowa,1600000US1914475,1914475,"Iowa - PLACE - Clio city, Wayne County","Clio city, Wayne County",80,44,0.75,0.00,0.75,106.5,58.6
0400000US19,19,Iowa,1600000US1914520,1914520,Iowa - PLACE - Clive city,Clive city,15447,6077,7.71,0.12,7.59,2036.1,801.0
0400000US19,19,Iowa,1550000US1914520049,1914520049,Iowa - PLACE - Clive city - Dallas County (part),Dallas County (part),4717,1658,2.92,0.00,2.92,1615.5,567.8
0400000US19,19,Iowa,1550000US1914520153,1914520153,Iowa - PLACE - Clive city - Polk County (part),Polk County (part),10730,4419,4.79,0.12,4.67,2299.3,946.9
0400000US19,19,Iowa,1600000US1914655,1914655,"Iowa - PLACE - Clutier city, Tama County","Clutier city, Tama County",213,121,0.76,0.00,0.76,280.7,159.5
0400000US19,19,Iowa,1600000US1914835,1914835,"Iowa - PLACE - Coalville CDP, Webster County","Coalville CDP, Webster County",610,289,2.26,0.07,2.18,279.2,132.3
0400000US19,19,Iowa,1600000US1914880,1914880,"Iowa - PLACE - Coburg city, Montgomery County","Coburg city, Montgomery County",42,13,0.29,0.00,0.29,144.5,44.7
0400000US19,19,Iowa,1600000US1914925,1914925,"Iowa - PLACE - Coggon city, Linn County","Coggon city, Linn County",658,288,0.64,0.02,0.62,1053.6,461.2
0400000US19,19,Iowa,1600000US1914970,1914970,"Iowa - PLACE - Coin city, Page County","Coin city, Page County",193,99,0.80,0.00,0.80,241.1,123.7
0400000US19,19,Iowa,1600000US1915015,1915015,"Iowa - PLACE - Colesburg city, Delaware County","Colesburg city, Delaware County",404,200,0.29,0.00,0.29,1392.9,689.6
0400000US19,19,Iowa,1600000US1915060,1915060,"Iowa - PLACE - Colfax city, Jasper County","Colfax city, Jasper County",2093,927,1.81,0.01,1.79,1166.5,516.6
0400000US19,19,Iowa,1600000US1915105,1915105,"Iowa - PLACE - College Springs city, Page County","College Springs city, Page County",214,90,1.10,0.00,1.10,195.4,82.2
0400000US19,19,Iowa,1600000US1915195,1915195,"Iowa - PLACE - Collins city, Story County","Collins city, Story County",495,219,0.49,0.00,0.49,1006.7,445.4
0400000US19,19,Iowa,1600000US1915240,1915240,"Iowa - PLACE - Colo city, Story County","Colo city, Story County",876,370,1.06,0.00,1.06,824.8,348.4
0400000US19,19,Iowa,1600000US1915375,1915375,"Iowa - PLACE - Columbus City city, Louisa County","Columbus City city, Louisa County",391,155,0.24,0.00,0.24,1637.2,649.0
0400000US19,19,Iowa,1600000US1915420,1915420,"Iowa - PLACE - Columbus Junction city, Louisa County","Columbus Junction city, Louisa County",1899,760,2.19,0.00,2.19,867.9,347.4
0400000US19,19,Iowa,1600000US1915465,1915465,"Iowa - PLACE - Colwell city, Floyd County","Colwell city, Floyd County",73,35,0.18,0.00,0.18,397.4,190.5
0400000US19,19,Iowa,1600000US1915645,1915645,"Iowa - PLACE - Conesville city, Muscatine County","Conesville city, Muscatine County",432,153,0.36,0.00,0.36,1204.9,426.7
0400000US19,19,Iowa,1600000US1915825,1915825,"Iowa - PLACE - Conrad city, Grundy County","Conrad city, Grundy County",1108,507,1.20,0.00,1.20,926.9,424.1
0400000US19,19,Iowa,1600000US1915870,1915870,"Iowa - PLACE - Conroy CDP, Iowa County","Conroy CDP, Iowa County",259,101,0.76,0.00,0.76,339.7,132.5
0400000US19,19,Iowa,1600000US1915960,1915960,"Iowa - PLACE - Conway city, Taylor County","Conway city, Taylor County",41,24,0.22,0.00,0.22,185.5,108.6
0400000US19,19,Iowa,1600000US1916050,1916050,Iowa - PLACE - Coon Rapids city,Coon Rapids city,1305,613,1.78,0.00,1.78,731.8,343.8
0400000US19,19,Iowa,1550000US1916050027,1916050027,Iowa - PLACE - Coon Rapids city - Carroll County (part),Carroll County (part),1305,613,1.75,0.00,1.75,744.6,349.8
0400000US19,19,Iowa,1550000US1916050077,1916050077,Iowa - PLACE - Coon Rapids city - Guthrie County (part),Guthrie County (part),0,0,0.03,0.00,0.03,0.0,0.0
0400000US19,19,Iowa,1600000US1916140,1916140,Iowa - PLACE - Coppock city,Coppock city,47,19,0.24,0.01,0.23,201.2,81.3
0400000US19,19,Iowa,1550000US1916140087,1916140087,Iowa - PLACE - Coppock city - Henry County (part),Henry County (part),30,12,0.08,0.00,0.08,395.4,158.2
0400000US19,19,Iowa,1550000US1916140101,1916140101,Iowa - PLACE - Coppock city - Jefferson County (part),Jefferson County (part),4,2,0.01,0.00,0.01,397.9,198.9
0400000US19,19,Iowa,1550000US1916140183,1916140183,Iowa - PLACE - Coppock city - Washington County (part),Washington County (part),13,5,0.15,0.01,0.15,88.0,33.9
0400000US19,19,Iowa,1600000US1916230,1916230,"Iowa - PLACE - Coralville city, Johnson County","Coralville city, Johnson County",18907,8310,12.05,0.04,12.01,1574.8,692.1
0400000US19,19,Iowa,1600000US1916320,1916320,"Iowa - PLACE - Corley CDP, Shelby County","Corley CDP, Shelby County",26,14,0.06,0.00,0.06,435.2,234.3
0400000US19,19,Iowa,1600000US1916500,1916500,"Iowa - PLACE - Corning city, Adams County","Corning city, Adams County",1635,849,1.59,0.00,1.58,1032.4,536.1
0400000US19,19,Iowa,1600000US1916545,1916545,"Iowa - PLACE - Correctionville city, Woodbury County","Correctionville city, Woodbury County",821,391,0.57,0.00,0.57,1442.5,687.0
